sample_accession	individual_id	breed	sex	run_accession	library_layout	library_strategy	library_source	study_accession	scientific_name	tax_id	instrument_platform	instrument_model
SAMEA104032048	Belgian Malinois 4	Belgian Malinois	F	SRR7107526	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091557	Great Dane 1	Great Dane	M	SRR7107534	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091561	West Highland White Terrier 11	West Highland White Terrier	F	SRR7107538	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091563	Wolf 5	Wolf	F	SRR7107540	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091564	Wolf 6	Wolf	M	SRR7107541	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091565	Wolf 7	Wolf	F	SRR7107542	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104091567	Dachshund 4	Dachshund	M	SRR7107544	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104125115	Border Collie 10	Border Collie	M	SRR7107555	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104125117	Dachshund 5	Dachshund	F	SRR7107557	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA104125121	Belgian Malinois 5	Belgian Malinois	M	SRR7107561	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMEA1521941	English Cocker Spaniel 2	English Cocker Spaniel	M	SRR7107563	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA2376414	Beagle 4	Beagle	F	SRR7107564	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA2417016	Labrador Retriever 13	Labrador Retriever	M	SRR7107566	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA3121338	Dachshund 3	Dachshund	M	SRR7107571	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA3928140	Bearded Collie 1	Bearded Collie	F	SRR7107581	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4504821	Border Collie 14	Border Collie	F	SRR7107590	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4504823	Belgian Malinois 2	Belgian Malinois	F	SRR7107592	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4504826	Belgian Malinois 3	Belgian Malinois	F	SRR7107595	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMEA4504827	Bearded Collie 5	Bearded Collie	M	SRR7107596	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
